CPU %, %MEM, TIME+, COMMAND
0.0, 0.1, 0:00.02, gsd-dat+
0.0, 0.1, 0:00.22, gsd-hou+
0.0, 0.2, 0:00.15, gsd-key+
0.0, 0.2, 0:00.35, gsd-med+
0.0, 0.3, 0:00.36, gsd-pow+
0.0, 0.1, 0:00.02, gsd-pri+
0.0, 0.1, 0:00.02, gsd-rfk+
0.0, 0.1, 0:00.01, gsd-scr+
0.0, 0.1, 0:00.37, gsd-sha+
0.0, 0.1, 0:00.01, gsd-sma+
0.0, 0.1, 0:00.01, gsd-sou+
0.0, 0.2, 0:00.18, gsd-wac+
0.0, 0.1, 0:19.43, ibus-da+
0.0, 0.1, 0:00.02, gsd-dis+
0.0, 0.2, 0:00.47, xpad
0.0, 0.3, 0:00.34, evoluti+
0.0, 0.1, 0:00.03, gsd-pri+
0.0, 0.1, 0:00.00, ibus-me+
0.0, 0.2, 0:11.27, ibus-ex+
0.0, 0.1, 0:00.13, ibus-po+
0.0, 0.1, 0:04.76, ibus-en+
0.0, 0.2, 0:00.39, xdg-des+
0.0, 0.0, 0:00.23, master
0.0, 0.1, 0:00.26, qmgr
0.0, 0.1, 0:00.37, tlsmgr
0.0, 0.3, 0:01.94, tracker+
0.0, 0.2, 0:00.13, gjs
0.0, 0.0, 0:00.01, docker-+
0.0, 0.0, 0:00.00, docker-+
0.0, 0.0, 0:00.00, docker-+
0.0, 0.0, 0:00.00, docker-+
0.0, 0.0, 0:00.54, contain+
0.0, 0.1, 0:00.56, contain+
0.0, 0.3, 0:03.13, prometh+
0.0, 0.9, 0:17.60, grafana
0.0, 0.1, 0:00.03, gvfsd-m+
0.0, 18.8, 1:45.09, java
0.0, 0.4, 2:14.85, Xwayland
0.0, 0.2, 0:00.44, gsd-xse+
0.0, 0.2, 0:00.25, ibus-x11
0.0, 0.4, 0:11.26, mutter-+
0.0, 0.0, 0:00.02, control+
0.0, 0.7, 3:13.88, nautilus
0.0, 0.1, 0:00.12, gvfsd-r+
0.0, 0.3, 0:00.53, update-+
0.0, 0.1, 0:00.03, gvfsd-n+
0.0, 0.1, 0:00.03, gvfsd-d+
0.0, 0.1, 0:00.01, oosplash
0.0, 3.0, 0:10.91, soffice+
0.0, 6.2, 6:50.78, firefox
0.0, 0.3, 0:00.10, Socket +
0.0, 0.9, 0:02.05, WebExte+
0.0, 1.3, 0:11.40, Privile+
0.0, 0.2, 0:00.50, snap
0.0, 0.4, 0:00.18, Utility+
0.0, 3.2, 8:44.90, Isolate+
0.0, 3.9, 1:59.29, Isolate+
0.0, 0.4, 0:00.13, RDD Pro+
0.0, 0.0, 0:01.51, kworker+
0.0, 0.6, 0:03.29, gnome-t+
0.0, 0.1, 0:00.02, bash
0.0, 0.0, 0:01.07, kworker+
0.0, 0.0, 0:00.69, kworker+
0.0, 1.8, 0:24.80, code
0.0, 0.6, 0:00.02, code
0.0, 0.6, 0:00.03, code
0.0, 0.1, 0:00.00, code
0.0, 0.0, 0:00.00, chrome_+
0.0, 0.8, 0:00.53, code
0.0, 1.1, 0:07.31, code
0.0, 1.1, 0:06.86, code
0.0, 1.0, 0:03.39, code
0.0, 0.1, 0:00.08, bash
0.0, 2.5, 0:56.13, code
0.0, 0.0, 0:00.41, kworker+
0.0, 0.0, 0:01.83, kworker+
0.0, 0.0, 0:00.67, kworker+
0.0, 0.0, 0:00.50, kworker+
0.0, 0.0, 0:02.93, kworker+
0.0, 0.0, 0:00.56, kworker+
0.0, 0.2, 0:00.16, smtp
0.0, 0.1, 0:00.02, bounce
0.0, 0.8, 0:01.28, gjs
0.0, 0.1, 0:00.01, pickup
0.0, 0.0, 0:00.16, kworker+
0.0, 0.1, 0:00.01, cleanup
0.0, 0.0, 0:00.10, kworker+
0.0, 0.0, 0:00.18, kworker+
0.0, 0.1, 0:00.01, trivial+
0.0, 0.0, 0:00.19, kworker+
0.0, 0.0, 0:00.41, kworker+
0.0, 0.9, 0:00.23, Isolate+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.8, 0:00.20, Web Con+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.02, kworker+
0.0, 0.8, 0:00.13, Web Con+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, sleep
0.0, 0.8, 0:00.14, Web Con+
